,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
0,108年01月01日 01時28分00秒,高雄市岡山區成功路台上351路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.301278,22.814121,108a10
1,108年01月01日 01時54分00秒,臺北市北投區竹子湖路前0.0公尺,死亡1;受傷0,普通重型-機車,121.560562,25.182451,108a11
2,108年01月01日 09時38分00秒,苗栗縣三灣鄉台3線 103公里北側向外側,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.955595,24.614313,108a12
3,108年01月01日 16時12分54秒,宜蘭縣大同鄉台7線 98公里200.0公尺處東側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.55706399999998,24.63992,108a13
4,108年01月01日 22時16分00秒,臺中市新社區協中里協中街前0.0公尺,死亡1;受傷0,普通重型-機車,120.800091,24.199220999999998,108a14
5,108年01月02日 01時52分00秒,桃園市中壢區中山東路3段口 / 桃園市中壢區龍慈路口,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,121.248605,24.944058,108a15
6,108年01月02日 03時17分00秒,臺北市大安區敦化南路2段 / 臺北市大安區信義路4段,死亡1;受傷0,普通重型-機車;自用-小客車,121.548796,25.033328,108a16
7,108年01月02日 08時23分00秒,高雄市大寮區里鳳屏二路 / 高雄市大寮區江山路,死亡1;受傷0,自用-小客車;普通重型-機車,120.404899,22.642779,108a17
8,108年01月02日 11時33分08秒,臺南市安定區國道1號 311公里南側向交流道,死亡1;受傷0,營業用-半聯結車,120.24258,23.11736,108a18
9,108年01月02日 18時01分00秒,新北市新店區新烏路3段310-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.547207,24.896801,108a19
10,108年01月02日 20時15分00秒,雲林縣元長鄉潭東村135794燈桿前,死亡1;受傷0,普通重型-機車,120.295649,23.640508999999998,108a110
11,108年01月03日 03時12分00秒,雲林縣斗南鎮將軍里溫厝角重光國小後方產業道路,死亡1;受傷0,普通重型-機車,120.514651,23.660047,108a111
12,108年01月03日 05時59分00秒,基隆市七堵區明德一路 / 基隆市七堵區自治北街,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車,121.712519,25.097169,108a112
